Post Source;Post URL;Username;Comment;clean_text
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;rycan.journey;Tapi emang bener.. Sebagai kota metropolitan terbesar kedua di Indonesia, dari segi transportasi umum, yaaa begitulah😂;emang bener kota metropolitan terbesar indonesia segi transportasi yaaa
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;well_velt7;Surabaya KONTOLLLLLL;surabaya kontollllll
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;deniiqbaltawakal;Saya sbnernya berharap @commuterline bsa mengoperasikan KA Jenggala atau Trans Jatim ke arah Surabaya jam set5 pagi dan ke arah Sidoarjo beroperasi sampai jam 11 malam;sbnernya berharap bsa mengoperasikan ka jenggala trans jatim arah surabaya jam set pagi arah sidoarjo beroperasi jam malam
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;diradiradio;kecewa banget kemarin baru tau r4 stop operasional jam 5;kecewa banget kemarin tau r stop operasional jam
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;plinkettaja;Emang badut transportasi kota satu ini;emang badut transportasi kota
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;boeinkr;jancuk goblok notok jedok. ancen kontol;jancuk goblok notok jedok ancen kontol
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;adissky;Gimana sih ini walikota;gimana sih walikota
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;zaastn.x;bruh;bruh
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;abednegopekerti;Ayoo ngamuk minnnn;ayoo ngamuk minnnn
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;irengmaulana;sopo walikotae.;sopo walikotae
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;mmrma_;Ya ampuunnnn pantesan nunggu ga dapet2;ya ampuunnnn pantesan nunggu ga dapet
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;bennydsp;Singkat saja: Eri asu;singkat eri asu
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;umi.sz;Transumnya kan cuma pajangan doang xixixi;transumnya pajangan doang xixixi
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;jayanprasetya;soale pegawaine yo pingin taun baruan 😍😍;soale pegawaine pingin taun baruan
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;dodi7fasha;Walikota e ae gupuh karo jenenge dee dewe, yo gak nyandak masalah ngenean wkwk;walikota e ae gupuh jenenge dee dewe gak nyandak ngenean wkwk
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;abdammarr;Kota manja;kota manja
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;ner_essa.p;Jangan gitu min. Dibilang gak kasian sama supirnya, butuh libur katanya 😛;gitu min dibilang gak kasian supirnya butuh libur
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;omarigee;@cakj1;
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;omarigee;@ericahyadi_;
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;omarigee;Last commute 4 sore, ini manja bgt;last commute sore manja bgt
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;awanterbang_;Aneh;aneh
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;triyogawicak;Tak guyu ae min, wes biasah hal begitu😂;guyu ae min wes biasah
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;p.angel.c;Gmn dgn sy yg baru plg kerja pk.16.00😢;gmn dgn sy yg plg kerja pk
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;valleananta;Kok tambah mundur seh jam e iku kudu e di tambah lah wong high season mosok rek jare sby kota gede transum e malah koyo ngene😢;mundur seh jam e kudu e high season mosok rek jare sby kota gede transum e koyo ngene
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;ibnumazah;kenapa pas akhir tahun selalu di nerf jadwalnya ya…? 😅;pas nerf jadwalnya ya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;hasto.pidekso;Wah wong Pemkot AREP prei mlaku2😂..kok ya pas malam tahun baru malah dikurangi jam operasional rel ..WES ANEH @ericahyadi_ @cakj1 @surabaya;pemkot arep prei mlakukok ya pas malam dikurangi jam operasional rel wes aneh
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;commdesk;Iki mbak @wie.9998887_ infonya😂;mbak infonya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;nuts.sl;Kirain bakal sampe malem ternyata malah jd makin sore, emg agak laen ini transportasi umum surabaya 😹;kirain sampe malem jd sore emg laen transportasi surabaya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;alfathurrahman.5.31;Muesti loh ya;muesti loh ya
